Method,Mean,Std,Min Acc,Lower Bound,95% CI Low,95% CI High,Fold Values
Baseline,39.9,1.0099504938362094,38.3,38.89004950616379,39.01473936041412,40.78526063958588,"[39.5, 40.5, 40.7, 40.5, 38.3]"
RandAugment,42.239999999999995,1.167475909815701,40.6,41.072524090184295,41.216662245395,43.26333775460499,"[42.5, 41.6, 42.9, 40.6, 43.6]"
SAS,40.74,0.7829431652425357,40.1,39.957056834757466,40.05372005711955,41.426279942880456,"[40.1, 42.1, 40.6, 40.5, 40.4]"
